sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,screen_type,screen_panel,screen_size,screen_tech,screen_res,screen_rate,power_consumption,ports,weight
333563,Màn hình Viewsonic VA2432A-H 23.8 inch FHD/IPS/120Hz/1ms,0,Viewsonic,Screen,4.9,319,https://www.thegioididong.com/man-hinh-may-tinh/viewsonic-va2432a-h-23-8-inch-fhd-ips-120hz-1ms,2024,2025-09-27 01:35:09,Phẳng,IPS,23.8 inch,"Công nghệ chống nháy - Flicker-free, Lọc ánh sáng xanh, Adaptive-Sync",Full HD (1920 x 1080),120 Hz,22W,"1 x Jack tai nghe 3.5 mm, 1 x HDMI 1.4, 1 x D-Sub (VGA)",2.7 kg
328465,Màn hình Samsung Gaming Odyssey OLED G8 G80SD LS32DG802SEXXV 32 inch/4K/OLED/240Hz/0.03ms,0,Samsung,Screen,5.0,4,https://www.thegioididong.com/man-hinh-may-tinh/samsung-gaming-lcd-odyssey-oled-g8-g80sd-ls32dg802sexxv-32-inch,2024,2025-09-27 01:35:12,Phẳng,OLED,"32""","Eye Saver Mode, Công nghệ chống nháy - Flicker-free, Virtual AIM Point, Core Sync, FreeSync Premium Pro, Smart Monitor, G-Sync Compatible",UHD (3840 x 2160),240 Hz,180w,"USB Hub Version 3, 1 x DisplayPort, 2 x HDMI, 2 x USB 2.0",8.4 kg
335629,Màn hình Gaming GIGABYTE GS25F2 24.5 inch FHD/IPS/200Hz/1ms,2790000,GIGABYTE,Screen,5.0,76,https://www.thegioididong.com/man-hinh-may-tinh/gigabyte-gs25f2-24-5-inch-fhd-ips-200hz-1ms,2025,2025-09-27 01:35:15,Phẳng,IPS,24.5 inch,"Giảm ánh sáng xanh, Freesync",Full HD (1920 x 1080),200 Hz,18W,"2 x HDMI 2.0, 1 x DisplayPort 1.4, 1 x Earphone Jack",3.11 kg
339897,Màn hình Samsung S3 S30GD LS27D300GAEXXV 27 inch FHD/IPS/100Hz/5ms,2590000,Samsung,Screen,5.0,153,https://www.thegioididong.com/man-hinh-may-tinh/samsung-s3-s30gd-ls27d300gaexxv-27-inch-fhd-ips-100hz-5ms,2025,2025-09-27 01:35:19,Phẳng,IPS,27 inch,"Eye Saver Mode, Eco Saving Plus, Chế độ chơi Game, Off Timer Plus, Image Size, Flicker free Technology",Full HD (1920 x 1080),100 Hz,25W,"1 x HDMI 1.4, 1 x D-Sub (VGA)",2.9 kg
290765,Màn hình Samsung ViewFinity S8 S80PB LS27B800PXEXXV 27 inch 4K/IPS/60Hz/5ms/HDR400/HDMI/TypeC,7450000,Samsung,Screen,4.9,270,https://www.thegioididong.com/man-hinh-may-tinh/samsung-ls27b800pxexxv-27-inch-4k,2022,2025-09-27 01:35:20,Phẳng,IPS,27 inch,"Eye Saver Mode, Công nghệ chống nháy - Flicker-free, Adaptive Picture, Eco Saving Plus, Eco Light Sensor, Chế độ chơi Game, Auto Source Switch+",UHD (3840 x 2160),60 Hz,,"1 x DisplayPort, 1 x LAN (RJ45), USB 3.0/Service, 1 x Jack tai nghe 3.5 mm, 2 x USB 3.0, HDMI, 1 x USB-C (Charging Power 90W, DisplayPort)",6.7 kg
331656,Màn hình Dell P2725H 27 inch FHD/IPS/100Hz/5ms,5490000,Dell,Screen,5.0,185,https://www.thegioididong.com/man-hinh-may-tinh/dell-p2725h-27-inch-fhd-ips-100hz-5ms,2024,2025-09-27 01:35:26,Phẳng,IPS,27 inch,"Công nghệ chống nháy - Flicker-free, ComfortView Plus",Full HD (1920 x 1080),100 Hz,65 W,"1 x USB 3.2 Type-B upstream, 3 x USB 3.2 Type-A downstream, 1 x USB 3.2 Type-C downstream (PD of up to 15W), 1 x HDMI 1.4, 1 x DisplayPort 1.2, 1 x D-Sub (VGA)",6.05 kg
332008,Màn hình Asus VY279HGR 27 inch FHD/IPS/120Hz/1ms,2790000,Asus,Screen,4.9,752,https://www.thegioididong.com/man-hinh-may-tinh/asus-vy279hgr-27-inch-fhd-ips-120hz-1ms,2024,2025-09-27 01:35:26,Phẳng,IPS,27 inch,"Shadow Boost, Motion Sync, HDCP 1.4, GameFast Input, Eye Care+, QuickFit, Nhiệt độ màu (4 chế độ), Công nghệ Trace Free, Công nghệ SPLENDID, GamePlus, Low Blue Light, Adaptive-Sync",Full HD (1920 x 1080),120 Hz,21W,"1 x Jack tai nghe 3.5 mm, 1 x HDMI 1.4, 1 x D-Sub (VGA)",4.05 kg
335631,Màn hình Gaming GIGABYTE GS27QA 27 inch 2K/IPS/180Hz/1ms,4890000,GIGABYTE,Screen,5.0,40,https://www.thegioididong.com/man-hinh-may-tinh/gigabyte-gs27qa-27-inch-2k-180hz-1ms,2024,2025-09-27 01:35:33,Phẳng,IPS,27 inch,"Giảm ánh sáng xanh, Freesync",QHD (2560 x 1440),180 Hz,32W,"2 x HDMI 2.0, 1 x DisplayPort 1.4, 1 x Earphone Jack",5.26 kg
335749,Màn hình Samsung S3 S30GD LS24D300GAEXXV 23.8 inch FHD/IPS/100Hz/1ms,2190000,Samsung,Screen,5.0,516,https://www.thegioididong.com/man-hinh-may-tinh/samsung-ls24d300gaexxv-23-8-inch-fhd-ips-100hz-1ms,2025,2025-09-27 01:35:42,Phẳng,IPS,23.8 inch,"Eye Saver Mode, Eco Saving Plus, Flicker free Technology",Full HD (1920 x 1080),100 Hz,25W,"1 x HDMI 1.4, 1 x D-Sub (VGA)",2.4 kg
334003,Màn hình MSI PRO MP252L 24.5 inch FHD/IPS/100Hz/1ms,1790000,MSI,Screen,4.9,1882,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp252l-24-5-inch-fhd-ips-100hz-1ms,2024,2025-09-27 01:35:47,Phẳng,IPS,24.5 inch,"HDR Ready, Chống chói Anti-Glare, Adaptive-Sync",Full HD (1920 x 1080),100 Hz,24W,"1 x DisplayPort 1.2a, 1 x Headphone-out, 1 x HDMI 1.4b",1.967 kg
337314,Màn hình Gaming MSI MAG 255F-E20 24.5 inch FHD/Rapid IPS/200Hz/0.5ms,2650000,MSI,Screen,5.0,340,https://www.thegioididong.com/man-hinh-may-tinh/msi-mag-255f-e20-24-5-inch-fhd-rapid-ips-200hz-0-5ms,2025,2025-09-27 01:35:51,Phẳng,Rapid IPS,24.5 inch,"HDR Ready, AMD FreeSync Premium",Full HD (1920 x 1080),200 Hz,18W,"1 x DisplayPort 1.2a, 2 x HDMI 2.0b, 1 x Headphone-out",5.13 kg
342368,Màn hình Gaming Asus TUF VG249QM5A 23.8 inch FHD/IPS/240Hz/0.3ms,3390000,Asus,Screen,5.0,74,https://www.thegioididong.com/man-hinh-may-tinh/asus-gaming-tuf-23-8-inch-full-hd-vg249qm5a,2025,2025-09-27 01:35:52,Phẳng,Fast IPS,23.8 inch,"HDCP 2.3, DisplayWidget Center, Shadow Boost, GameVisual, GameFast Input, Nhiệt độ màu (4 chế độ), Công nghệ Trace Free, GamePlus, ASUS Extreme Low Motion Blur, Low Blue Light, ELMB Sync, Adaptive-Sync",Full HD (1920 x 1080),240 Hz,15W,"2 x HDMI 2.0, 1 x DisplayPort 1.4, 1 x Earphone Jack",3.4 kg
349979,"Màn hình Gaming MSI MAG 245F-X24 (23.8 inch, Full HD, Rapid IPS, 240Hz, 0.5ms)",3290000,MSI,Screen,,,https://www.thegioididong.com/man-hinh-may-tinh/msi-gaming-mag-23-8-inch-full-hd-245f-x24,2025,2025-09-27 01:35:53,Phẳng,Rapid IPS,23.8 inch,"HDR Ready, MSI Eyes Ergo, MSI Eye-Q Check, AI Navigator",Full HD (1920 x 1080),240 Hz,38W,"1 x DisplayPort 1.2a, 2 x HDMI 2.0b, 1 x Jack tai nghe 3.5 mm",5.32 kg
331654,Màn hình Dell P2425H 23.8 inch FHD/IPS/100Hz/5ms,4490000,Dell,Screen,5.0,274,https://www.thegioididong.com/man-hinh-may-tinh/dell-p2425h-23-8-inch-fhd-ips-100hz-5ms,2024,2025-09-27 01:35:54,Phẳng,IPS,23.8 inch,"Công nghệ chống nháy - Flicker-free, ComfortView Plus",Full HD (1920 x 1080),100 Hz,65 W,"1 x USB 3.2 Type-B upstream, 3 x USB 3.2 Type-A downstream, 1 x USB 3.2 Type-C downstream (PD of up to 15W), 1 x HDMI 1.4, 1 x DisplayPort 1.2, 1 x D-Sub (VGA)",4.98 kg
338143,Màn hình Gaming Asus ROG Strix XG27AQDMG 26.5 inch 2K/WOLED/240Hz/0.03ms,15490000,Asus,Screen,5.0,4,https://www.thegioididong.com/man-hinh-may-tinh/asus-rog-strix-xg27aqdmg-26-52k-woled-240hz-0-03ms,2024,2025-09-27 01:35:56,Phẳng,WOLED,26.5 inch,"DisplayWidget Center, Shadow Boost, HDCP 2.2, Aspect Control, Game Visual, Công nghệ Trace Free, GamePlus, ASUS Extreme Low Motion Blur, Low Blue Light, Sai lệch màu Delta E< 2, AMD FreeSync Premium, G-Sync Compatible",QHD (2560 x 1440),240 Hz,25W,"2 x HDMI 2.0, 1 x DisplayPort 1.4 DSC, 1 x Jack tai nghe 3.5 mm, 2 x USB 3.2",6.7 kg
333733,Màn hình MSI PRO MP275 E2 27 inch FHD/IPS/120Hz/1ms,2590000,MSI,Screen,4.9,792,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp275-e2-27-inch-fhd-ips-120hz-1ms,2024,2025-09-27 01:35:57,Phẳng,IPS,27 inch,"Eye-Q Check, Eyesergo",Full HD (1920 x 1080),120 Hz,21W,"1 x Line-in, 1 x Headphone-out, 1 x HDMI 2.0, 1 x DisplayPort 1.2, 1 x D-Sub (VGA)",3.854 kg
339093,Màn hình SingPC P27F100-IPS 27 inch FHD/IPS/100Hz/5ms,1890000,SingPC,Screen,5.0,212,https://www.thegioididong.com/man-hinh-may-tinh/singpc-p27f100-ips-27-inch-fhd-ips-100hz-5ms,2025,2025-09-27 01:35:57,Phẳng,IPS,27 inch,Less Blue Light,Full HD (1920 x 1080),100 Hz,36W,"1 x HDMI, 1 x VGA",3.4 kg
322533,Màn hình Gaming Samsung Odyssey G5 G55C LS27CG552EEXXV 27 inch 2K/VA/165Hz/1ms/HDMI/DisplayPort,4390000,Samsung,Screen,5.0,308,https://www.thegioididong.com/man-hinh-may-tinh/samsung-odyssey-g5-g55c-ls27cg552eexxv-27-inch-2k,2024,2025-09-27 01:36:03,Cong,VA,27 inch,"Eye Saver Mode, Công nghệ chống nháy - Flicker-free, Auto Source Switch+, Black Equalizer (Bộ cân bằng màu đen), AMD FreeSync, HDR10, Curved Screen 1000R",QHD (2560 x 1440),165 Hz,40 W,"1 x Jack tai nghe 3.5 mm, 1 x HDMI 2.0, 1 x DisplayPort 1.2",4.1 kg
324060,Màn hình Gaming Xiaomi G34WQi 34 inch 3K/VA/180Hz/1ms/DisplayPort,6860000,Xiaomi,Screen,5.0,145,https://www.thegioididong.com/man-hinh-may-tinh/xiaomi-g34wqi-34-inch-3k,2024,2025-09-27 01:36:07,Cong,VA,34 inch,"Giảm ánh sáng xanh, Độ cong 1500R, Sai lệch màu Delta E< 2, AMD FreeSync Premium",3K (3440 x 1440),180 Hz,65 W,"2 x HDMI 2.0, 1 x Jack tai nghe 3.5 mm, 2 x DisplayPort 1.4",6.9 kg
337071,Màn hình SingPC Q24F75-IPS 23.8 inch FHD/IPS/75Hz/4ms,0,SingPC,Screen,4.9,1096,https://www.thegioididong.com/man-hinh-may-tinh/singpc-q24f75-ips-23-8-inch-fhd-ips-75hz-4ms,2024,2025-09-27 01:36:12,Phẳng,IPS,23.8 inch,"Less Blue Light, Freesync, Chống chói Anti-Glare",Full HD (1920 x 1080),75 Hz,36W,"1 x HDMI, 1 x D-Sub (VGA)",2.35 kg
333566,Màn hình Viewsonic VA2708-2K-MHD 27 inch 2K/IPS/100Hz/1ms,3690000,Viewsonic,Screen,5.0,539,https://www.thegioididong.com/man-hinh-may-tinh/man-hinh-viewsonic-va2708-2k-mhd-27-inch-2k-ips-100hz-1ms,2024,2025-09-27 01:36:12,Phẳng,IPS,27 inch,"Eye Protech+, Công nghệ chống nháy - Flicker-free, Lọc ánh sáng xanh, HDR10, Adaptive-Sync",QHD (2560 x 1440),100 Hz,30W,"1 x DisplayPort, 2 x HDMI 2.0, 1 x Jack tai nghe 3.5 mm",4.1 kg
330832,Màn hình Gaming Xiaomi G Pro 27i 27 inch 2K/IPS/180Hz/1ms,8230000,Xiaomi,Screen,5.0,8,https://www.thegioididong.com/man-hinh-may-tinh/xiaomi-g-pro-27i-27-inch-2k-ips-180hz-1ms,2024,2025-09-27 01:36:27,Phẳng,Fast IPS,27 inch,"Giảm ánh sáng xanh, Sai lệch màu Delta E< 2, Freesync",QHD (2560 x 1440),180 Hz,65 W,"2 x DisplayPort, 1 x Headphone-out, 2 x HDMI",6.8 kg
334382,Màn hình Gaming Acer Nitro KG270 X1 27 inch FHD/IPS/200Hz/4ms,3390000,Acer,Screen,5.0,219,https://www.thegioididong.com/man-hinh-may-tinh/acer-nitro-kg270-x1-27-inch-fhd-ips-200hz-4ms,2024,2025-09-27 01:36:27,Phẳng,IPS,27 inch,"Công nghệ chống nháy - Flicker-free, Blue Light Shield, Black Boost, Acer VisionCare, Acer ComfyView, AMD FreeSync Premium, HDR10",Full HD (1920 x 1080),200 Hz,21W,"2 x HDMI 2.0, 1 x Audio Out, 1 x DisplayPort 1.4",3.8 kg
331654,Màn hình Dell P2425H 23.8 inch FHD/IPS/100Hz/5ms,4490000,Dell,Screen,5.0,274,https://www.thegioididong.com/man-hinh-may-tinh/dell-p2425h-23-8-inch-fhd-ips-100hz-5ms,2024,2025-09-27 01:36:28,Phẳng,IPS,23.8 inch,"Công nghệ chống nháy - Flicker-free, ComfortView Plus",Full HD (1920 x 1080),100 Hz,65 W,"1 x USB 3.2 Type-B upstream, 3 x USB 3.2 Type-A downstream, 1 x USB 3.2 Type-C downstream (PD of up to 15W), 1 x HDMI 1.4, 1 x DisplayPort 1.2, 1 x D-Sub (VGA)",4.98 kg
338142,Màn hình Asus VA249HG-R 23.8 inch FHD/IPS/120Hz/1ms,2390000,Asus,Screen,5.0,420,https://www.thegioididong.com/man-hinh-may-tinh/asus-va249hg-r-23-8-inch-fhd-ips-120hz-1ms,2025,2025-09-27 01:36:29,Phẳng,IPS,23.8 inch,"Công nghệ chống nháy - Flicker-free, Shadow Boost, Motion Sync, HDCP 1.4, GameFast Input, Eye Care+, QuickFit, Nhiệt độ màu (4 chế độ), Công nghệ Trace Free, Công nghệ SPLENDID, GamePlus, Low Blue Light, Adaptive-Sync",Full HD (1920 x 1080),120 Hz,15W,"1 x Jack tai nghe 3.5 mm, 1 x HDMI 1.4, 1 x D-Sub (VGA)",3.2 kg
337322,Màn hình Gaming MSI MAG 274F 27 inch FHD/Rapid IPS/200Hz/0.5ms,3390000,MSI,Screen,5.0,136,https://www.thegioididong.com/man-hinh-may-tinh/msi-mag-274f-27-inch-fhd-rapid-ips-200hz-0-5ms,2025,2025-09-27 01:36:31,Phẳng,Rapid IPS,27 inch,"HDR Ready, Chống chói Anti-Glare, Adaptive-Sync",Full HD (1920 x 1080),200 Hz,21W,"1 x DisplayPort 1.2a, 1 x HDMI 2.0b, 1 x Headphone-out",6.25 kg
337314,Màn hình Gaming MSI MAG 255F-E20 24.5 inch FHD/Rapid IPS/200Hz/0.5ms,2650000,MSI,Screen,5.0,340,https://www.thegioididong.com/man-hinh-may-tinh/msi-mag-255f-e20-24-5-inch-fhd-rapid-ips-200hz-0-5ms,2025,2025-09-27 01:36:34,Phẳng,Rapid IPS,24.5 inch,"HDR Ready, AMD FreeSync Premium",Full HD (1920 x 1080),200 Hz,18W,"1 x DisplayPort 1.2a, 2 x HDMI 2.0b, 1 x Headphone-out",5.13 kg
324059,Màn hình Xiaomi A24i 23.8 inch FHD/IPS/100Hz/6ms/HDMI,2050000,Xiaomi,Screen,4.9,1301,https://www.thegioididong.com/man-hinh-may-tinh/xiaomi-a24i-238-inch-fhd,2024,2025-09-27 01:36:36,Phẳng,IPS,23.8 inch,"Giảm ánh sáng xanh, Sai lệch màu Delta E< 2, HDR10",Full HD (1920 x 1080),100 Hz,24 W,"1 x DisplayPort 1.4, HDMI",2.98 kg
337235,Màn hình Gaming Asus TUF VG279QE5A 27 inch FHD/IPS/146Hz/1ms,3190000,Asus,Screen,5.0,147,https://www.thegioididong.com/man-hinh-may-tinh/asus-tuf-vg279qe5a-27fhd-ips-146hz-1ms,2025,2025-09-27 01:36:37,Phẳng,IPS,27 inch,"DisplayWidget Center, Shadow Boost, HDCP, GameVisual, Nhiệt độ màu (4 chế độ), GamePlus, ASUS Extreme Low Motion Blur, Low Blue Light, ELMB Sync, Adaptive-Sync",Full HD (1920 x 1080),146 Hz,16.7W,"1 x 3.5 mm mini-jack, 1 x HDMI 2.0, 1 x DisplayPort 1.2",4.4 kg
342555,"Màn hình Dell UltraSharp U2725QE (27 inch 4K, IPS, 120Hz, 5ms)",16490000,Dell,Screen,5.0,5,https://www.thegioididong.com/man-hinh-may-tinh/man-hinh-dell-ultrasharp-u2725qe-27-inch-4k-ips-120hz-5ms,2025,2025-09-27 01:36:38,Phẳng,IPS,27 inch,"Sai lệch màu Delta E< 1.5, Picture in Picture, Ambient Light Sensor, Picture-by-picture, Eye Comfort, Chống chói Anti-Glare, DisplayHDR 600",UHD (3840 x 2160),120 Hz,25.4 W,"5 x USB 3.2 Gen 2, 3 x USB-C 3.2 Gen 2, 1 x DisplayPort 1.4 - port out, 1 x LAN (RJ45), 1 x DisplayPort 1.4 DSC (DRR cho Microsoft Windows), 1 x Thunderbolt 4 upstream (DisplayPort 1.4,Power Delivery 140W), 1 x Thunderbolt 4 downstream (Daisy Chain, 15 W), 1 x Jack tai nghe 3.5 mm, 1 x HDMI (Hỗ trợ lên đến UHD 3840 x 2160, 120 Hz FRL, VRR theo quy định trong HDMI 2.1)",7.06 kg
335749,Màn hình Samsung S3 S30GD LS24D300GAEXXV 23.8 inch FHD/IPS/100Hz/1ms,2190000,Samsung,Screen,5.0,516,https://www.thegioididong.com/man-hinh-may-tinh/samsung-ls24d300gaexxv-23-8-inch-fhd-ips-100hz-1ms,2025,2025-09-27 01:36:40,Phẳng,IPS,23.8 inch,"Eye Saver Mode, Eco Saving Plus, Flicker free Technology",Full HD (1920 x 1080),100 Hz,25W,"1 x HDMI 1.4, 1 x D-Sub (VGA)",2.4 kg
328849,Màn hình MSI PRO MP251 E2 24.5 inch FHD/IPS/120Hz/1ms,2090000,MSI,Screen,4.9,2061,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp251-e2-24-5-inch-fhd,2024,2025-09-27 01:36:41,Phẳng,IPS,24.5 inch,"Adaptive Sync, Eyesergo, Chống chói Anti-Glare",Full HD (1920 x 1080),120 Hz,18W,"1 x Line-in, 1 x Headphone-out, 1 x HDMI 2.0, 1 x DisplayPort 1.4, 1 x D-Sub (VGA)",4.9 kg
341853,Màn hình Gaming MSI MAG 273QP QD-OLED X24 26.5 inch 2K/QD-OLED/240Hz/0.03ms,15490000,MSI,Screen,,,https://www.thegioididong.com/man-hinh-may-tinh/msi-mag-273qp-qd-oled-x24-26-5-inch-2k-qd-oled-240hz-0-03ms,2025,2025-09-27 01:36:44,Phẳng,QD-OLED,26.5 inch,"Anti-Reflection, DisplayHDR True Black 400, Adaptive Sync",WQHD (2560 x 1440),240 Hz,40W,"2 x HDMI 2.1, 1 x Headphone-out, 1 x DisplayPort 1.4",6.7 kg
338780,Màn hình Gaming Acer KB242Y P6 23.8 inch FHD/IPS/144Hz/1ms,1890000,Acer,Screen,5.0,918,https://www.thegioididong.com/man-hinh-may-tinh/acer-kb242y-p6-23-8fhd-ips-144hz-1ms,2025,2025-09-27 01:36:46,Phẳng,IPS,23.8 inch,"Blue Light Shield, Low-dimming, Acer VisionCare, Flickerless, AMD FreeSync",Full HD (1920 x 1080),144 Hz,12.9W,"1 x HDMI 1.4, 1 x DisplayPort 1.2",3.042 kg
339092,Màn hình SingPC P22F100-IPS 21.5 inch FHD/IPS/100Hz/5ms,1290000,SingPC,Screen,4.9,545,https://www.thegioididong.com/man-hinh-may-tinh/singpc-p22f100-ips-21-5-inch-fhd-ips-100hz-5ms,2025,2025-09-27 01:36:48,Phẳng,IPS,21.5 inch,Less Blue Light,Full HD (1920 x 1080),100 Hz,36W,"1 x HDMI, 1 x VGA",2 kg
338142,Màn hình Asus VA249HG-R 23.8 inch FHD/IPS/120Hz/1ms,2390000,Asus,Screen,5.0,420,https://www.thegioididong.com/man-hinh-may-tinh/asus-va249hg-r-23-8-inch-fhd-ips-120hz-1ms,2025,2025-09-27 01:36:49,Phẳng,IPS,23.8 inch,"Công nghệ chống nháy - Flicker-free, Shadow Boost, Motion Sync, HDCP 1.4, GameFast Input, Eye Care+, QuickFit, Nhiệt độ màu (4 chế độ), Công nghệ Trace Free, Công nghệ SPLENDID, GamePlus, Low Blue Light, Adaptive-Sync",Full HD (1920 x 1080),120 Hz,15W,"1 x Jack tai nghe 3.5 mm, 1 x HDMI 1.4, 1 x D-Sub (VGA)",3.2 kg
